address,conviction,amount,weight,weight_fraction,power,original_conviction
156U1ffF2ZSR5sBpYNUxvXu3rprh4x4of3WdYuBcReD87qcc,0.1,269.5,26,0.018335684062059238,0.01838659469579203,4.0
156U1ffF2ZSR5sBpYNUxvXu3rprh4x4of3WdYuBcReD87qcc,1.0,269.5,269,0.16195063214930763,0.15384746806702665,4.0
156U1ffF2ZSR5sBpYNUxvXu3rprh4x4of3WdYuBcReD87qcc,2.0,269.5,539,0.2791299844640083,0.32322282830213334,4.0
156U1ffF2ZSR5sBpYNUxvXu3rprh4x4of3WdYuBcReD87qcc,3.0,269.5,808,0.36727272727272725,0.514242638133398,4.0
156U1ffF2ZSR5sBpYNUxvXu3rprh4x4of3WdYuBcReD87qcc,4.0,269.5,1078,0.43643724696356273,0.7590922147934579,4.0
156U1ffF2ZSR5sBpYNUxvXu3rprh4x4of3WdYuBcReD87qcc,5.0,269.5,1347,0.49178532311062434,0.9979478276099045,4.0
156U1ffF2ZSR5sBpYNUxvXu3rprh4x4of3WdYuBcReD87qcc,6.0,269.5,1617,0.5373878364905285,1.0,4.0
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,0.1,262.675906685863,26,0.010951979780960405,0.00955237796996075,0.4644506667522466
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,1.0,262.675906685863,262,0.10038314176245211,0.05225707468265069,0.4644506667522466
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,2.0,262.675906685863,525,0.1827358162199791,0.11356907331600896,0.4644506667522466
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,3.0,262.675906685863,788,0.2512755102040816,0.16585649686414577,0.4644506667522466
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,4.0,262.675906685863,1050,0.3090052972336669,0.26513118229128185,0.4644506667522466
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,5.0,262.675906685863,1313,0.35864517891286535,0.34462298316085443,0.4644506667522466
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,6.0,262.675906685863,1576,0.4016309887869521,0.47110001629907955,0.4644506667522466
127Y9PPKUCNs3cEJk9ay4uALzrG245AatN7c2DhATQS2b2nE,0.1,99.75,9,0.004326923076923077,0.0,4.0
127Y9PPKUCNs3cEJk9ay4uALzrG245AatN7c2DhATQS2b2nE,1.0,99.75,99,0.0456221198156682,1.0488546983446213e-05,4.0
127Y9PPKUCNs3cEJk9ay4uALzrG245AatN7c2DhATQS2b2nE,2.0,99.75,199,0.08766519823788546,0.002610423897244223,4.0
127Y9PPKUCNs3cEJk9ay4uALzrG245AatN7c2DhATQS2b2nE,3.0,99.75,299,0.1261603375527426,0.017125214989987224,4.0
127Y9PPKUCNs3cEJk9ay4uALzrG245AatN7c2DhATQS2b2nE,4.0,99.75,399,0.16153846153846155,0.03775497641928831,4.0
127Y9PPKUCNs3cEJk9ay4uALzrG245AatN7c2DhATQS2b2nE,5.0,99.75,498,0.19384974698326196,0.05397430284083535,4.0
127Y9PPKUCNs3cEJk9ay4uALzrG245AatN7c2DhATQS2b2nE,6.0,99.75,598,0.2240539527913076,0.0765329714896488,4.0
14ggEp4Bv3WeQ52x4LFdoid8pPWQvFxahHCZHNyF7gHiGCTf,0.1,85.0,8,0.003598740440845704,0.00027804100253641485,3.0
14ggEp4Bv3WeQ52x4LFdoid8pPWQvFxahHCZHNyF7gHiGCTf,1.0,85.0,85,0.03695652173913044,0.005486228400969104,3.0
14ggEp4Bv3WeQ52x4LFdoid8pPWQvFxahHCZHNyF7gHiGCTf,2.0,85.0,170,0.07127882599580712,0.020213304587845232,3.0
14ggEp4Bv3WeQ52x4LFdoid8pPWQvFxahHCZHNyF7gHiGCTf,3.0,85.0,255,0.10323886639676114,0.03775497641928831,3.0
14ggEp4Bv3WeQ52x4LFdoid8pPWQvFxahHCZHNyF7gHiGCTf,4.0,85.0,340,0.13307240704500978,0.05170152530621678,3.0
14ggEp4Bv3WeQ52x4LFdoid8pPWQvFxahHCZHNyF7gHiGCTf,5.0,85.0,425,0.16098484848484848,0.06862689134846478,3.0
14ggEp4Bv3WeQ52x4LFdoid8pPWQvFxahHCZHNyF7gHiGCTf,6.0,85.0,510,0.1871559633027523,0.09440848957837632,3.0
