referendum_index,origin,address,amount,conviction,votes,status,voting_time,delegate
355,referendum_canceller,FjjBLEQLSQTa7oDLpWeJZed1D1m4Eys4XWcgxuTzTpWqRgV,100000000000000,6,600000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,E2U3UUbpG4SHCQ5BFJamYrv8yHpCf499dA9G8Cn9uhcvjwb,100000000000000,6,600000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,GqPDeJBexSsvEq6gBzrnMCn7KNYbzn9bX9ePCjEDN3EikoV,500000000000000,1,500000000000000,Nays,1710559002,E5hWebLmPSFSUq3nSfGuFYopAK65fooqiXV91gQwuZGuMad
355,referendum_canceller,Eksma7JmWh8DenpNKi2uCavwaKJ9QrJJbtcnmwJr3hbHSmC,100000000000000,5,500000000000000,Nays,1709839272,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF
355,referendum_canceller,Dm64aaAUyy5dvYCSmyzz3njGrWrVaki9F6BvUDSYjDDoqR2,100000000000000,5,500000000000000,Nays,1709839272,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF
355,referendum_canceller,DfHkfoKa6xzNMWTNGL8SH8VyY69gajen4ijgmegeU4cZm1H,100000000000000,5,500000000000000,Nays,1709839272,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF
355,referendum_canceller,Dfg9gbTwG6aghwLYTfYoV4dXyhCRBLbRyFwENADHmg4zfDF,230000000000000,2,460000000000000,Nays,1709942160,
355,referendum_canceller,GL7MYnpQr7jgJqK8wSRUQuob1TvTY7uRJP6LUNeUyvMUhQR,210000000000000,2,420000000000000,Nays,1709942178,
355,referendum_canceller,FF4KRpru9a1r2nfWeLmZRk6N8z165btsWYaWvqaVgR6qVic,400000000000000,1,400000000000000,Nays,1709891922,GZDxU5H28YzTrtRk7WAyGrbbpdQCdHNRUG6VKJbxpfo81bu
355,referendum_canceller,F2mwdEWtgnD7EC5AfKbT5PpYmChFx2bbBRtpDBJgrZkRLLz,100000000000000,4,400000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,DZzMSwXzbxhnCJePpzRKs1GD3yX25LP91y2Q9kFmPHXQ1vY,100000000000000,4,400000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,CbaNLeJQ8e8aCJMTLa9euDKuTDmnT5oPmGFt4AmuvXmYFGN,100000000000000,4,400000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,FcRowS859tNnJnWW5WLLqTrsubwuSXBzECYjLbcyQVwJWYv,100000000000000,4,400000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,EPbpqewHLsudtHdJnyMSR3SqP3fwUSSGssP18qsW1UABaFr,190000000000000,2,380000000000000,Ayes,1710701886,
355,referendum_canceller,EPbpqewHLsudtHdJnyMSR3SqP3fwUSSGssP18qsW1UABaFr,190000000000000,2,380000000000000,Nays,1709939010,
355,referendum_canceller,EAfrwK6HXDYzMzfgwWYvDTFnK67ovXG13ezWMoeLFweKgNa,100000000000000,3,300000000000000,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
355,referendum_canceller,EQMipshNYYvHL427XS2HyTvisAhTokXKZfhaRkKxz6sKxQd,90000000000000,3,270000000000000,Nays,1710254886,
