referendum_index,origin,address,amount,conviction,votes,status,voting_time,delegate
320,auction_admin,DKQjLpo7TD8JCwJwKQwk8BFVi9L5s8TjjY3DWC8bYkgDZrG,41000000000000000,1,41000000000000000,Ayes,1701878982,DV8mbVPenHC5JrpWqAjkTXQRAnMDyFk2SzoxKWqRnrXkqed
320,auction_admin,EXy5EDRyTFspQH4N4L4cnmbz4vtWg6vb532SVvVjUoczRHt,6700000000000000,3,20100000000000000,Ayes,1701899184,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
320,auction_admin,FPH96K6AvPNtq8poEkRDN9pATQhi5J6bJCWJLrXRhpEMg4N,6690000000000000,3,20070000000000000,Ayes,1701899184,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
320,auction_admin,Hv1Ak5Due1XSx6bdTaWsc7ZiSG9ws8e7SBfV9TmQy5rsirE,20000000000000000,1,20000000000000000,Ayes,1702307940,JGwLyn5AW1Hd9nqPgyNcJvXiPKAXyBqgvnx4ioniUZouUi9
320,auction_admin,EK3H96Qfh9X2KiX59dxMWP7UnQco1AVkhZdJoVysVp7igry,20000000000000000,1,20000000000000000,Ayes,1702307910,FndpA4bc82CDtiRMaGZQJmEum8m9JzZuQnxPfMKiykDUcN6
320,auction_admin,F2rsq1YSKjyz9fxietUE4FPv7rEwnuumXkqTC5k4usGaxZi,20000000000000000,1,20000000000000000,Ayes,1701878970,DG7cxb3rnFEhgFxvax4FMf5EVDCT2iZgGR2sKXciw3KFUzf
320,auction_admin,JCnwcngxuPyiRivyW93XEhQSgoKU8YEKkXzACw7jD3GEZrd,72673000000000000,0.1,7267300000000000,Ayes,1701878970,DG7cxb3rnFEhgFxvax4FMf5EVDCT2iZgGR2sKXciw3KFUzf
320,auction_admin,GZhmVta94g8zhFdZXNSdN7HQT8ynqJ4iASp28ZhJ96LBa2e,67569000000000000,0.1,6756900000000000,Ayes,1702307910,FndpA4bc82CDtiRMaGZQJmEum8m9JzZuQnxPfMKiykDUcN6
320,auction_admin,EtHKJCxSzgwYjVRkDwAq3Kuqjxd41rKYYTpxRsdAPZEsPcP,57585000000000000,0.1,5758500000000000,Ayes,1702307940,JGwLyn5AW1Hd9nqPgyNcJvXiPKAXyBqgvnx4ioniUZouUi9
320,auction_admin,Cfus9w7DfgwfPts9hdHbTnVy5Nmm4hq7DFc6duenCcEbD8K,1500000000000000,3,4500000000000000,Ayes,1702377690,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF
320,auction_admin,EG5FpzEAsgJxdc5xS8qFX9yKDnpn2sNqTSPr1v54sUr8E8F,2250000000000000,2,4500000000000000,Ayes,1701899184,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
320,auction_admin,D5j6TKjwbT7GuwtVu1vhrn45jZms3Tw89e94h22LiJWWAYj,500000000000000,6,3000000000000000,Ayes,1701997026,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
320,auction_admin,GLVDsjRNze1K591bBMwXbLogHG1UB5wD3PH4bCzJg7Crqt3,430518367003072,6,2583110202018432,Ayes,1701899184,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
320,auction_admin,EjTKjqNsJS2k3pF9WdEr8Fm9WMfq57nU9CWBsyRa8oc47Tg,1200000000000000,1,1200000000000000,Ayes,1701908520,G4qFCkKu7BiaWFNLXfcdZpY94hndyKnzqY1JtmiSBsTPSxC
320,auction_admin,DK9DJCt64f5BoW55LudivAAv8NA8MaNiKGeNiyFpkxijcwq,353000000000000,3,1059000000000000,Ayes,1701899184,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
320,auction_admin,CmkHUWRBZWp8vh3t9ZMyddx3DHjqfv2jErXrECtcizxoGc2,350000000000000,3,1050000000000000,Ayes,1701899184,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
320,auction_admin,HYow6hsFy5oW88GqLdKyF9G65hKYpCteGqULE1ZJHh8yi5r,1000000000000000,1,1000000000000000,Ayes,1701997026,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
320,auction_admin,GvqFak1zCSzN4PKEYWmWNUSdNJ7jC4uxgjWT7ASn9RqVEH5,1000000000000000,1,1000000000000000,Ayes,1701908520,G4qFCkKu7BiaWFNLXfcdZpY94hndyKnzqY1JtmiSBsTPSxC
320,auction_admin,HHxJGYkkxzYNpDmoGomwuGBc8mtZQDhyhvWiCgUpJttpR1K,150000000000000,6,900000000000000,Ayes,1701997026,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
